question_number,year,exam,subject,topic,subtopic,question_text,option_1,option_2,option_3,option_4,answer,subject_clean,topic_clean,topics,label_source,concept,ask_type,secondary_subjects,source,answer_note,ocr_page,option_5,option_6,option_7,option_8,shift,year_hint
1400,2016,AIPGMEE,Pediatrics,Vitamins & Nutrition,IMNCI weight-for-age chart,Pink color in the IMNCI chart is suggestive of,Normal zone of weight for age,Undernutrition (Upto - 2SD),Severely underweight zone (Upto - 3SD),Very severely undernourished (Upto - 5SD),3,Pediatrics,Vitamins & Nutrition,"['Vitamins & Nutrition', 'Neonatology', 'Epidemiology']",llm,Pink color very severe undernutrition,diagnosis,['Community Medicine'],nishant-aipgmee,,,,,,,,
1401,2016,AIPGMEE,Anatomy,Embryology,DHT role in external genitalia,5DHT is necessary for development of which of the following?,External genitalia,Internal genitalia,Mullerian structures,Wollfian structures,1,Anatomy,Embryology,"['Embryology', 'Endocrinology']",llm,DHT required for external genitalia,mechanism,['Physiology'],nishant-aipgmee,,,,,,,,
1402,2016,AIPGMEE,Psychiatry,Autism Spectrum Disorders,Asperger syndrome features,True about Asperger syndrome:,More common in girl,Repetitive activity pattern,Subnormal intelligence is consistent feature,Severe language impairments is characteristic,2,Psychiatry,Autism Spectrum Disorders,"['Autism Spectrum Disorders', 'Child Psychiatry', 'Neonatology']",llm,Asperger syndrome characteristics,diagnosis,['Pediatrics'],nishant-aipgmee,,,,,,,,
1403,2016,AIPGMEE,Community Medicine,Child Health,Definition of childhood,Definition of childhood is under what age?,8 years,10 years,12 years,16 years,3,Community Medicine,Child Health,"['Child Health', 'Epidemiology', 'Neonatology']",llm,Childhood age threshold,epidemiology,['Pediatrics'],nishant-aipgmee,,,,,,,,
1404,2016,AIPGMEE,Community Medicine,Epidemiology,omphalocele,Prevalence of omphalocele at birth is,1 in 100 live births,1 in 2000 live births,1 in 4000 live births,"1 in 10,000 live births",3,Community Medicine,Epidemiology,"['Epidemiology', 'Birth Defects']",llm,omphalocele birth prevalence,epidemiology,['OBG'],nishant-aipgmee,,,,,,,,
1406,2016,AIPGMEE,Pediatrics,Growth & Development,number of teeth,A child aged 7 years has how many teeth,15,20,26,32,3,Pediatrics,Growth & Development,"['Growth & Development', 'Growth & Development']",llm,teeth count at age 7,other,[],nishant-aipgmee,,,,,,,,
1407,2016,AIPGMEE,Pediatrics,Growth & Development,circle drawing and tower building,What is the age of the child who draws a circle and builds tower of 7 cubes?,1 year,2 years,21/2 years,3 years,4,Pediatrics,Growth & Development,"['Growth & Development', 'Growth & Development']",llm,developmental milestone age,other,[],nishant-aipgmee,,,,,,,,
1408,2016,AIPGMEE,Pediatrics,Growth & Development,climbing steps alternate feet,By what age is the milestone of climbing steps with alternate feet achieved?,2 years,3 years,4 years,5 years,2,Pediatrics,Growth & Development,"['Growth & Development', 'Growth & Development']",llm,climbing steps alternate feet age,other,['Physiology'],nishant-aipgmee,,,,,,,,
1409,2016,AIPGMEE,Pediatrics,Growth & Development,mature finger grip,Mature finger grip comes at what age?,5 months,7 months,9 months,1 year,3,Pediatrics,Growth & Development,"['Growth & Development', 'Growth & Development']",llm,mature finger grip age,other,['Physiology'],nishant-aipgmee,,,,,,,,
1410,2016,AIPGMEE,Pediatrics,Growth & Development,social smile,Social smile is attained at what age?,2 months,5 months,9 months,1 year,1,Pediatrics,Growth & Development,"['Growth & Development', 'Growth & Development']",llm,social smile age,other,['Physiology'],nishant-aipgmee,,,,,,,,
1411,2016,AIPGMEE,Pediatrics,Growth & Development,Milestone ordering,Arrange the following milestones in the correct order of their attainment I. Build tower of 4 cubes II. Make simple sentences III. Drawing a circle IV. Drawing a rectangle,II → III → IV → I,I → II → III → IV,II → I → III → IV,I → II → IV → III,2,Pediatrics,Growth & Development,"['Growth & Development', 'Growth & Development']",llm,Milestone sequence,other,[],nishant-aipgmee,,,,,,,,
1412,2016,AIPGMEE,Pediatrics,Neonatology,Mother recognition,By what age can a newborn recognize mother?,2 months,3 months,6 months,7 months,2,Pediatrics,Neonatology,"['Neonatology', 'Mother-infant bonding']",llm,Newborn mother recognition,other,[],nishant-aipgmee,,,,,,,,
1413,2016,AIPGMEE,Pediatrics,Growth & Development,18-month-old abilities,Which of the following can be done by an 18 months old baby?,Making tower of 9 cubes,Can use 10 words with meaning,Ride tricycle,Turn pages of book one at a time,2,Pediatrics,Growth & Development,"['Growth & Development', 'Growth & Development']",llm,18-month-old motor language,other,[],nishant-aipgmee,,,,,,,,
1414,2016,AIPGMEE,Pediatrics,Growth & Development,Vocabulary size at 18 months,Vocabulary of 1.5 year old child is -,1-10 words,10-20 words,20-30 words,30-40 words,2,Pediatrics,Growth & Development,['Growth & Development'],llm,18-month vocabulary size,other,[],nishant-aipgmee,,,,,,,,
1415,2016,AIPGMEE,Pediatrics,Growth & Development,Sentence length at 5 years,A child of 5 years can use sentences of around how many words?,6 words,10 words,100 words,250 words,2,Pediatrics,Growth & Development,['Growth & Development'],llm,5-year sentence length,other,[],nishant-aipgmee,,,,,,,,
1416,2016,AIPGMEE,Pediatrics,Growth & Development,10-month motor milestones,Milestones achieved by a 10 months old child are all except -,Pincer grasp,Waving bye - bye,Standing without support,Plays a peek - a - boo game,3,Pediatrics,Growth & Development,['Growth & Development'],llm,10-month motor milestones,other,[],nishant-aipgmee,,,,,,,,
1417,2016,AIPGMEE,Pediatrics,Growth & Development,Identify 4 colours and draw triangle,What is the age of a child who can identify 4 colours and draw a triangle?,21/2 years,3 years,4 years,5 years,4,Pediatrics,Growth & Development,['Growth & Development'],llm,Age for 4 colors triangle,other,[],nishant-aipgmee,,,,,,,,
1418,2016,AIPGMEE,Pediatrics,Vitamins & Nutrition,Weight doubling age,Weight of an infant doubles by what age?,6 months,1 year,2 years,3 years,3,Pediatrics,Vitamins & Nutrition,['Vitamins & Nutrition'],llm,Infant weight doubling age,other,[],nishant-aipgmee,,,,,,,,
1419,2016,AIPGMEE,Pediatrics,Vitamins & Nutrition,Head circumference growth 0-3 months,Growth of head circumference in 1st 3 months of life is by,2 cm,3 cm,5 cm,10 cm,3,Pediatrics,Vitamins & Nutrition,['Vitamins & Nutrition'],llm,Head circumference growth 0-3 months,other,[],nishant-aipgmee,,,,,,,,
1420,2016,AIPGMEE,Pediatrics,Growth & Development,Delayed tooth eruption,Delayed eruption is failure of teeth to appear by,6 months,13 months,25 months,37 months,2,Pediatrics,Growth & Development,"['Growth & Development', 'Neonatology']",llm,Delayed eruption timeline,diagnosis,[],nishant-aipgmee,,,,,,,,
1421,2016,AIPGMEE,Pediatrics,Neonatology,Breast milk protective factors,Breast milk protects from infections as it contains all of the following except:,IgE,Lactoferrin,Bifidus factor,PABA,1,Pediatrics,Neonatology,"['Neonatology', 'Neonatology', 'Microbiology']",llm,Breast milk infection protection,mechanism,['Microbiology'],nishant-aipgmee,,,,,,,,
4,2016,AIPGMEE,Microbiology,Virology,Antiviral inhibitory substances,Specific inhibitory substances against viral infections.,,,,,,Microbiology,Virology,"['Virology', 'Microbiology']",llm,Interferon antiviral activity,mechanism,[],nishant-aipgmee,,,,,,,,
5,2016,AIPGMEE,Microbiology,Innate Immunity,Lactoferrin,Lactoferrin → Inhibits growth of E. coli.,,,,,,Microbiology,Innate Immunity,"['Innate immunity', 'Microbiology', 'Biochemistry']",llm,Lactoferrin inhibits E. coli,mechanism,['Biochemistry'],nishant-aipgmee,,,,,,,,
6,2016,AIPGMEE,Microbiology,Parasitology,Bile stimulated lipase,Bile stimulated lipase → kills entamoeba histolytica and Giardia lamblia.,,,,,,Microbiology,Parasitology,"['Parasitology', 'Microbiology', 'Biochemistry']",llm,Bile lipase kills parasites,mechanism,['Biochemistry'],nishant-aipgmee,,,,,,,,
7,2016,AIPGMEE,Microbiology,Innate Immunity,Bifidus factor,Bifidus factor → Inhibits growth of E. coli,,,,,,Microbiology,Innate Immunity,"['Innate immunity', 'Microbiology', 'Biochemistry']",llm,Bifidus factor inhibits E. coli,mechanism,['Biochemistry'],nishant-aipgmee,,,,,,,,
8,2016,AIPGMEE,Microbiology,Parasitology,PABA and malaria,Para-amino-benzoic acid (PABA) → Provides protection against malaria ix) Phagocytic macrophages and lymphoid cells,,,,,,Microbiology,Parasitology,"['Parasitology', 'Biochemistry']",llm,PABA malaria protection,mechanism,['Biochemistry'],nishant-aipgmee,,,,,,,,
1422,2016,AIPGMEE,Pediatrics,Neonatology,premature milk composition,Which of the following is true regarding premature milk as compared to mature milk?,Less lactose,Less iron,Less immunoglobulins,Less sodium,1,Pediatrics,Neonatology,"['Neonatology', 'Biochemistry']",llm,premature milk composition,other,['Biochemistry'],nishant-aipgmee,,,,,,,,
1423,2016,AIPGMEE,Pediatrics,Neonatology,breast milk vs cow's milk,All of the following are true regarding breast milk as compared to cow's milk except,Contains more lactose,More amount of proteins,Less amount of fat content,Minerals and salts is less,2,Pediatrics,Neonatology,"['Neonatology', 'Biochemistry']",llm,breast milk composition differences,other,['Biochemistry'],nishant-aipgmee,,,,,,,,
1424,2016,AIPGMEE,Pediatrics,Vitamins & Nutrition,growth reference standard,Which of the following is the best reference for growth monitoring in children?,ICMR,NCHS,Boston,IAP,2,Pediatrics,Vitamins & Nutrition,['Vitamins & Nutrition'],llm,growth monitoring reference standard,epidemiology,['Community Medicine'],nishant-aipgmee,,,,,,,,
1425,2016,AIPGMEE,Pediatrics,Vitamins & Nutrition,Kwashiorkor cause,Kwashiorkar is due to deficiency of,Calories,Minerals,Vitamins,Zinc,1,Pediatrics,Vitamins & Nutrition,['Vitamins & Nutrition'],llm,Kwashiorkor etiology,mechanism,['Community Medicine'],nishant-aipgmee,,,,,,,,
1426,2016,AIPGMEE,Anatomy,Musculoskeletal System,metabolically active part of long bone,Which of the following is the most metabolically active part of long bone?,Epiphysis,Metaphysis,Diaphysis,Physis,4,Anatomy,Musculoskeletal System,['Musculoskeletal system'],llm,most metabolically active long bone region,anatomy_structure,[],nishant-aipgmee,,,,,,,,
1427,2016,AIPGMEE,Orthopedics,Poliomyelitis,Iliotibial band contracture,Iliotibial band contracture in patients of poliomyelitis will lead to,Flexion at hip and knee,"Flexion at hip, extention at knee",Extention at hip flexion at knee,Extention at hip and knee,1,Orthopedics,Poliomyelitis,"['Poliomyelitis', 'Fractures', 'Neuroanatomy']",llm,Iliotibial band contracture posture,anatomy_structure,['Anatomy'],nishant-aipgmee,,,,,,,,
1429,2016,AIPGMEE,Orthopedics,Fractures,,Which of the following is not true about Galeazzi fracture dislocation?,Fracture of distal third of radius and dislocation of distal radio-,Results from fall on outstretched hand,The distal end of ulna dislocates volarly after disruption of distal,Radius is angulated medially and anteriorly,3,Orthopedics,Fractures,['Fractures'],keywords,,,[],nishant-aipgmee,,,,,,,,
1430,2016,AIPGMEE,Orthopedics,Fractures,,"In Monteggia fracture, which is true about ulnar fracture and head of radius",Both ulnar fracture and head of radius is displaced posteriorly,Both ulnar fracture and head of radius is displaced anteriorly,Ulnar fractures is posteriorly and head of radius is displaced,Ulnar fracture is anteriorly and head of radius is displaced,2,Orthopedics,Fractures,['Fractures'],keywords,,,[],nishant-aipgmee,,,,,,,,
1431,2016,AIPGMEE,Orthopedics,Fractures,,Which of the following is not true about Jeffersons fracture?,It is a burst fracture of the ring of atlas vertebra,It is the most common type of atlas fracture,Fracture definintion is particularly clear on CT Scan image,It is associated with injury elsewhere in spine in 25% of the,4,Orthopedics,Fractures,['Fractures'],keywords,,,[],nishant-aipgmee,,,,,,,,
1432,2016,AIPGMEE,Orthopedics,Rotator Cuff Injuries,supraspinatus tear,Which of the following shoulder movements is/ are weak in patients of supraspinatus tear?,Abduction,Adduction,External rotation,Internal rotation,1,Orthopedics,Rotator Cuff Injuries,"['Rotator Cuff Injuries', 'Rotator Cuff', 'Shoulder Movements']",llm,supraspinatus abduction weakness,anatomy_structure,['Anatomy'],nishant-aipgmee,,,,,,,,
1433,2016,AIPGMEE,Orthopedics,Rotator Cuff Impingement,impingement syndrome,Which of the following is not true about impingement syndrome?,It is the tendinitis caused by inflammation of the rotator cuff,Supraspinatus tendon is most often involved,Shoulder abduction in the arc of 60 - 120 degrees is particularly,Surgical decompression of the subacromial space is frequently,4,Orthopedics,Rotator Cuff Impingement,"['Rotator Cuff Impingement', 'Rotator Cuff', 'Impingement Syndrome']",llm,impingement syndrome false statement,other,[],nishant-aipgmee,,,,,,,,
1434,2016,AIPGMEE,Orthopedics,Dislocations,Narath sign,Vascular sign of Narath is noticed in,Fracture neck of femur,Perthes disease,Posterior dislocation of hip,All of the above,3,Orthopedics,Dislocations,"['Dislocations', 'Fractures', 'Neuroanatomy']",llm,Narath sign hip dislocation,diagnosis,['Anatomy'],nishant-aipgmee,,,,,,,,
1435,2016,AIPGMEE,Orthopedics,Fractures,Odontoid fracture,Most dangerous type of odontoid fracture as per Anderson and D' Alonzo classification and its respective management is,Type I - immobilization in rigid collar,Type II - screw fixation,Type III - halo vest immmobilization,Type IV - ope reduction internal fixation,2,Orthopedics,Fractures,"['Fractures', 'Fractures', 'Interventional Radiology']",llm,Type II odontoid fracture management,management,['Radiology'],nishant-aipgmee,,,,,,,,
1,2016,AIPGMEE,Orthopedics,Fractures,Odontoid fracture,Type I - An avulsion fracture of the tip of the odontoid process due to traction by the alar ligaments. The fracture is stable (above the transverse ligament) and unites without difficulty.,Medial patellar subluxation,Lateral patellar subluxation,Superior patellar subluxation,Inferior patellar subluxation,2,Orthopedics,Fractures,"['Fractures', 'Fractures', 'Neuroanatomy']",llm,Type I odontoid fracture description,diagnosis,['Anatomy'],nishant-aipgmee,"Patellar alignment can be assessed by measuring the Q-angle (quadriceps angle). This is the angle subtended by a line drawn from the anterior superior iliac spine to the centre of the patella and another from the centre of the patella to the tibial tubercle. It normally averages about 14 degrees in men and 17 degrees in women. Patellofemoral stability is maintained by a combination of the articular surface geometry and soft tissue restraints. 1437. Seat belt injury is a) Tear drop fracture b) Wedge fracture c) Chance fracture d) Whiplash injury Correct Answer - C C i.e. Chance fracture A horizontal fracture of the vertebra extending from body to the posterior element, caused by a strong distraction force 1438. Palpable femur head on per rectal exam is a feature of which of the following conditions? a) Posterior hip dislocation b) Anterior hip dislocation c) Central hip dislocation d) Inferior hip dislocation Correct Answer - C Answer- C. Central hip dislocation In central fracture-dislocation of the hip the femoral head is driven through the floor (medial wall) of the acetabulum towards the pelvic cavity. It occurs due to fall on the side, or a blow over the greater trochater. 1439. The most common complication of intracapsular fracture neck of femur is a) Mal union b) Osteoarthritis c) Non-Union d) Shortening Correct Answer - C C i.e. Nonunion Both intracapsular neck fracture and extracapsular fracture (basicervical and IT fracture) have same deformities, i.e. external rotation and shortening. These displacements are more marked in extracapsular fractures, because in an intracapsular fracture, the capsule of the hip joint is attached to the distal fragment and prevents extreme rotation and displacement of the distal fragment (and with it, the limb). In extracapsular fracture, distal fragment being outside the capsule is displaced more markedly. 1440. Popliteal artery injury is commonly seen in which type of traumatic knee dislocation? a) Anterior b) Posterior c) Me",,,,,,,
2,2016,AIPGMEE,Orthopedics,Spine,Type II odontoid fracture,Type II - A fracture at the junction of the odontoid process and the body of the axis. This is the most common (and potentially the most dangerous) type. The fracture is unstable and prone to non-union. It requires fixation by screw.,,,,,,Orthopedics,Spine,"['Spine', 'Fractures', 'Neuroanatomy']",llm,Odontoid Type II fracture,diagnosis,['Anatomy'],nishant-aipgmee,,,,,,,,
3,2016,AIPGMEE,Orthopedics,Spine,Type III axis fracture,Type III - A fracture through the body of the axis. The fracture is stable and almost always unites with immobilization.,,,,,,Orthopedics,Spine,"['Spine', 'Fractures', 'Neuroanatomy']",llm,Type III axis fracture,diagnosis,['Anatomy'],nishant-aipgmee,,,,,,,,
1436,2016,AIPGMEE,Orthopedics,Patellofemoral Disorders,Increased Q angle,Increased Q angle predisposes to,Medial patellar subluxation,Lateral patellar subluxation,Superior patellar subluxation,Inferior patellar subluxation,2,Orthopedics,Patellofemoral Disorders,"['Patellofemoral Disorders', 'Fractures', 'Neuroanatomy']",llm,Increased Q angle lateral subluxation,diagnosis,['Anatomy'],nishant-aipgmee,,,,,,,,
1438,2016,AIPGMEE,Orthopedics,Hip Dislocation,Palpable femoral head per rectum,Palpable femur head on per rectal exam is a feature of which of the following conditions?,Posterior hip dislocation,Anterior hip dislocation,Central hip dislocation,Inferior hip dislocation,3,Orthopedics,Hip Dislocation,"['Hip Dislocation', 'Physical Examination', 'Neuroanatomy']",llm,Posterior hip dislocation sign,diagnosis,['Anatomy'],nishant-aipgmee,,,,,,,,
1439,2016,AIPGMEE,Orthopedics,Fractures,Intracapsular femoral neck fracture complication,The most common complication of intracapsular fracture neck of femur is,Mal union,Osteoarthritis,Non-Union,Shortening,3,Orthopedics,Fractures,"['Fractures', 'Obstetric Complications', 'Systemic Pathology']",llm,Femoral neck fracture nonunion,diagnosis,['Pathology'],nishant-aipgmee,,,,,,,,
1440,2016,AIPGMEE,Orthopedics,Knee Dislocation,Popliteal artery injury in knee dislocation,Popliteal artery injury is commonly seen in which type of traumatic knee dislocation?,Anterior,Posterior,Medial,Lateral,2,Orthopedics,Knee Dislocation,"['Knee Dislocation', 'Vascular', 'Neuroanatomy']",llm,Popliteal artery injury knee dislocation,diagnosis,['Anatomy'],nishant-aipgmee,,,,,,,,
1441,2016,AIPGMEE,Orthopedics,Shoulder Dislocation,Kocher maneuver,Kocher manoeuver is used for,Shoulder reduction,Elbow reduction,Ankle dislocation,Knee dislocation,1,Orthopedics,Shoulder Dislocation,"['Shoulder Dislocation', 'Fractures']",llm,Kocher shoulder reduction,management,[],nishant-aipgmee,,,,,,,,
1,2016,AIPGMEE,Orthopedics,Radial Head Subluxation,Traction technique,Traction— with the elbow flexed to a right angle steady tractionis applied along the long axis of the humerus;,,,,,,Orthopedics,Radial Head Subluxation,"['Radial Head Subluxation', 'Fractures']",llm,Radial head subluxation reduction,management,[],nishant-aipgmee,,,,,,,,
2,2016,AIPGMEE,Orthopedics,Shoulder Dislocation,External rotation,External rotation—the arm is rotated externally;,,,,,,Orthopedics,Shoulder Dislocation,"['Shoulder Dislocation', 'Fractures']",llm,Shoulder reduction external rotation,management,[],nishant-aipgmee,,,,,,,,
3,2016,AIPGMEE,Anatomy,Upper Limb,Shoulder adduction,Adduction—the externally rotated arm is adducted by carrying the elbow across the body towards the midline; and,,,,,,Anatomy,Upper Limb,"['Upper Limb', 'Shoulder']",llm,Shoulder adduction mechanism,mechanism,[],nishant-aipgmee,,,,,,,,
4,2016,AIPGMEE,Anatomy,Upper Limb,Shoulder internal rotation,Internal rotation – the arm is rotated internally so that the hand falls across to the opposite shoulder.,,,,,,Anatomy,Upper Limb,"['Upper Limb', 'Shoulder']",llm,Shoulder internal rotation,mechanism,[],nishant-aipgmee,,,,,,,,
1442,2016,AIPGMEE,Orthopedics,Ankle Injuries,Inversion sprain ATFL,Ankle sprain due to forced inversion of a plantar flexed foot is due to injury to,Anterior talofibular ligament,Posterior talofibular ligament,Calcaneofibular ligament,Posterior fibres of deltoid,1,Orthopedics,Ankle Injuries,"['Ankle injuries', 'Ligament injuries']",llm,Ankle inversion sprain,diagnosis,['Anatomy'],nishant-aipgmee,,,,,,,,
1443,2016,AIPGMEE,Orthopedics,Fractures,scaphoid fracture,Treatment of scaphoid fracture,Conservative,Compression Screws,Compression Plating,Traction,1,Orthopedics,Fractures,['Fractures'],llm,scaphoid fracture treatment,management,[],nishant-aipgmee,,,,,,,,
1444,2016,AIPGMEE,Orthopedics,Fractures,lateral condyle humerus fracture,All of the following are true regarding fracture of lateral condyle of humerus except,Usually seen at 6 - 10 years of age,Results in Gun stock deformity,Cubitus valgus occurs,Tardy ulnar nerve palsy is seen,2,Orthopedics,Fractures,"['Fractures', 'Neonatology']",llm,lateral condyle humerus fracture features,other,['Pediatrics'],nishant-aipgmee,,,,,,,,
1445,2016,AIPGMEE,Orthopedics,Fractures,tibia fracture,Most common complication of fracture of tibia,Infection,Compartment syndrome,Delayed union,Vascular injury,3,Orthopedics,Fractures,['Fractures'],llm,tibia fracture complication,other,[],nishant-aipgmee,,,,,,,,
1446,2016,AIPGMEE,Orthopedics,Acl Injuries,ACL injury facts,Which of the following is not true about ACL injury?,It is a component of the 0' Donoghue triad,ACL is intrasynovial,ACL is important for proprioceptive function,Anterior drawer test is the most sensitive test,4,Orthopedics,Acl Injuries,"['Knee injuries', 'ACL injuries']",llm,ACL injury facts,other,['Anatomy'],nishant-aipgmee,,,,,,,,
1447,2016,AIPGMEE,Orthopedics,Traction,Continuous fixed traction,Continuous fixed traction is provided by -,Thomas splint,BB splint,Hamilton Russel,Gallows,1,Orthopedics,Traction,['Traction'],llm,Continuous fixed traction,other,[],nishant-aipgmee,,,,,,,,
1448,2016,AIPGMEE,Orthopedics,Arthrodesis,Cobra head plate,Cobra head plate is used for,Hip arthrodesis,Knee arthrodesis,Elbow arthrodesis,Ankle arthrodesis,1,Orthopedics,Arthrodesis,['Arthrodesis'],llm,Cobra head plate use,other,[],nishant-aipgmee,,,,,,,,
1449,2016,AIPGMEE,Orthopedics,Fractures,locking compression plating,Locking compression plating for is commonly indicated in the following fracture types,Periarticular fractures,Transverse or oblique fractures of long bones,Intertrochanteric fractures,Fracture of long bones,1,Orthopedics,Fractures,"['Fractures', 'Fractures']",llm,locking compression plate indications,management,[],nishant-aipgmee,,,,,,,,
1450,2016,AIPGMEE,Orthopedics,Fractures,Dunlop traction,Dunlop traction is a type of traction used in management of,Fracture humerus,Fracture radius,Fracture femur,Fracture Tibia,1,Orthopedics,Fractures,"['Fractures', 'Fractures']",llm,Dunlop traction indication,management,[],nishant-aipgmee,,,,,,,,
1451,2016,AIPGMEE,Orthopedics,Spine,ankle reflex L5-S1,Ankle reflex is affected in prolapsed intervertebral disc at what level?,L3 - L4,L4 - L5,L5 - S1,S1 - S2,3,Orthopedics,Spine,"['Spine', 'Fractures']",llm,ankle reflex in disc prolapse,diagnosis,[],nishant-aipgmee,,,,,,,,
1453,2016,AIPGMEE,Medicine,Rheumatology,Inflammatory arthritis,All are features of inflammatory arthritis except?,Morning stiffness,X-ray showing sclerosis,Elevated ESR,Weight gain,2,Medicine,Rheumatology,"['Rheumatology', 'Joints & Arthritis']",llm,Inflammatory arthritis features,diagnosis,['Orthopedics'],nishant-aipgmee,,,,,,,,
1454,2016,AIPGMEE,Orthopedics,Growth & Development,Ortolani and Barlow tests,Which of the following is not true about the tests for hip instability in neonates?,Ortolanis test has two parts,They are performed at 2 - 3 days of birth,In ortolanis test examiners fingers rest on the greater trochanter,In barlows test examiners thumb is placed in the groin,1,Orthopedics,Growth & Development,"['Growth & Development', 'Neonatal examination']",llm,Neonatal hip instability tests,other,['Pediatrics'],nishant-aipgmee,,,,,,,,
1455,2016,AIPGMEE,Orthopedics,Growth & Development,Ortolani test positive sign,Ortolani test is positive when the examiner hears the ?,Clunk of entry on abduction and flexion of hip,Clunk of entry on extension and adduction of hip,Click of exit on abduction and flexion of hip,Click of exit on extension and adduction of hip,1,Orthopedics,Growth & Development,"['Growth & Development', 'Neonatal examination']",llm,Ortolani test positive sign,other,['Pediatrics'],nishant-aipgmee,,,,,,,,
1,2016,AIPGMEE,Orthopedics,Growth & Development,Barlow test,"Part 1 :- Infant is in supine position with hip and knee in 90° of flexion, The hip is slowly adducted & pushed to dislocate the hip and one can hear a clunck of exit of femoral head out of the acetabulum.",,,,,,Orthopedics,Growth & Development,"['Growth & Development', 'Barlow test']",llm,Barlow test for DDH,diagnosis,['Pediatrics'],nishant-aipgmee,,,,,,,,
2,2016,AIPGMEE,Orthopedics,Growth & Development,Ortolani test,"Part 2 :- Now the hip is gentely abducted and pulled to reduce the hip. This will cause 'clunk' indicating reduction of hip. It is quite obvious that part 1 can be done only dislocatable hip; but not in already dislocated hip as the head is already out of the acetabulum. Ortolani's test This test is similar to 2nd part of Barlow's test, i.e. slow abduction of hip in flexed position of hip & knee to reduce the hip.",,,,,,Orthopedics,Growth & Development,"['Growth & Development', 'Ortolani test']",llm,Ortolani test for DDH,diagnosis,['Pediatrics'],nishant-aipgmee,,,,,,,,
1457,2016,AIPGMEE,Orthopedics,Fractures,CTEV facts,Which of the following is true about CTEV,It is more common in females,Right foot is usually more affected than the left,Talus is displaced medial and plantarwards,Tibia usually shows lateral torsion,3,Orthopedics,Fractures,"['Fractures', 'Congenital Talipes Equinovarus', 'Clubfoot']",llm,CTEV epidemiology anatomy,anatomy_structure,['Pediatrics'],nishant-aipgmee,,,,,,,,
1458,2016,AIPGMEE,Orthopedics,Fractures,Correction sequence,The last deformity to be corrected by Ponseti's method for CTEV is -,Heel Varus,Equinus,Foot Adduction,Cavus,2,Orthopedics,Fractures,"['Fractures', 'Ponseti Method', 'Congenital Talipes Equinovarus']",llm,Last corrected deformity Ponseti,management,['Pediatrics'],nishant-aipgmee,,,,,,,,
1459,2016,AIPGMEE,Orthopedics,Fractures,Manipulation methods,Which of the following is not true about the manipulation methods to correct CTEV?,Involves serial casting and below knee plaster casting,In kites method deformities are corrected sequentially,Ponseti's technique has success rate of 90 - 98%,Ponseti's method of correction involves cavus —> adduction -->,1,Orthopedics,Fractures,"['Fractures', 'Ponseti Method', 'Congenital Talipes Equinovarus']",llm,CTEV manipulation techniques truth,management,['Pediatrics'],nishant-aipgmee,,,,,,,,
1460,2016,AIPGMEE,Orthopedics,Clubfoot,Neglected CTEV >10 years,Which of the following is the management for neglected case of CTEV in a patient > 10 years of age?,Triple arthrodesis,Ankle arthrodesis,Jess fixation,Ponseti casting,1,Orthopedics,Clubfoot,['Clubfoot'],llm,Management of neglected CTEV,management,[],nishant-aipgmee,,,,,,,,
1461,2016,AIPGMEE,Orthopedics,Metabolic Bone Disease,Osteoporosis associations,Osteoporosis is seen in all the following except,Thyrotoxicosis,Rheumatoid arthritis,Hypoparathyroidism,Steroid therapy,3,Orthopedics,Metabolic Bone Disease,"['Metabolic Bone Disease', 'Osteoporosis']",llm,Conditions causing osteoporosis,diagnosis,[],nishant-aipgmee,,,,,,,,
1462,2016,AIPGMEE,Orthopedics,Slipped Capital Femoral Epiphysis,SCFE facts,Which of the following is not true about SCFE?,Males are affected more frequently,Extension is restricted,Commonly occurs during adolescence,"Varus, adduction and external rotation deformities are present",2,Orthopedics,Slipped Capital Femoral Epiphysis,"['Slipped Capital Femoral Epiphysis', 'Pediatric Orthopedics']",llm,SCFE epidemiology and presentation,diagnosis,['Pediatrics'],nishant-aipgmee,,,,,,,,
1463,2016,AIPGMEE,Orthopedics,Knee Deformity,Genu recurvatum,Genu recurvatum is seen in -,Rheumatoid arthritis,Poliomyelitis,Rickets,All the above,4,Orthopedics,Knee Deformity,"['Knee deformity', 'Fractures']",llm,Genu recurvatum etiologies,diagnosis,[],nishant-aipgmee,,,,,,,,
1464,2016,AIPGMEE,Orthopedics,Psoriatic Arthritis,DIP joint involvement,Psoriatic arthritis most commonly involves which joint -,Distal interphalangeal joint,Proximal interphalangeal joint,Wrist joint,Metacarpophalangeal joint,1,Orthopedics,Psoriatic Arthritis,"['Psoriatic arthritis', 'Rheumatology', 'Dermatology']",llm,Psoriatic arthritis common joint,diagnosis,['Dermatology'],nishant-aipgmee,,,,,,,,
1,2016,AIPGMEE,Orthopedics,Joints & Arthritis,DIP arthritis,Arthritis of distal interphalangeal (DIP) joints,,,,,,Orthopedics,Joints & Arthritis,"['Joints & Arthritis', 'Rheumatology']",llm,DIP joint arthritis causes,diagnosis,['Dermatology'],nishant-aipgmee,,,,,,,,
2,2016,AIPGMEE,Medicine,Rheumatology,Asymmetrical oligoarthritis,Assymetrical oligoarthritis : Most common pattern,,,,,,Medicine,Rheumatology,"['Rheumatology', 'Joints & Arthritis']",llm,Asymmetrical oligoarthritis pattern,epidemiology,[],nishant-aipgmee,,,,,,,,
